id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,full_country_name
2592,ENRY,medium_airport,"Moss Airport, Rygge",59.378817,10.785439,174.0,EU,NO,NO-30,Oslo,no,ENRY,RYG,,http://www.en.ryg.no/,https://en.wikipedia.org/wiki/Moss_Airport%2C_Rygge,"Moss lufthavn Rygge, Rygge Air Station",Norway
2593,ENSB,medium_airport,"Svalbard Airport, Longyear",78.246101379395,15.465600013733,88.0,EU,NO,NO-21,Longyearbyen,yes,ENSB,LYR,,https://avinor.no/en/airport/svalbard-airport/,https://en.wikipedia.org/wiki/Svalbard_Airport%2C_Longyear,,Norway
29281,ENSH,medium_airport,"Svolvær Airport, Helle",68.243301,14.6692,27.0,EU,NO,NO-18,Svolvær,yes,ENSH,SVJ,,https://avinor.no/en/airport/svolvar-airport/,https://en.wikipedia.org/wiki/Svolv%C3%A6r_Airport%2C_Helle,"Svolvær lufthavn, Helle",Norway
29282,ENSK,medium_airport,"Stokmarknes Airport, Skagen",68.578827,15.033417,11.0,EU,NO,NO-18,Hadsel,yes,ENSK,SKN,,https://avinor.no/en/airport/stokmarknes-airport/,https://en.wikipedia.org/wiki/Stokmarknes_Airport%2C_Skagen,"Stokmarknes lufthavn, Skagen",Norway
2594,ENSN,medium_airport,Skien Airport,59.185001373291016,9.566940307617188,463.0,EU,NO,NO-38,Geiteryggen,no,ENSN,SKE,,,https://en.wikipedia.org/wiki/Skien_Airport%2C_Geiteryggen,,Norway
2595,ENSO,medium_airport,"Stord Airport, Sørstokken",59.791901,5.34085,160.0,EU,NO,NO-46,Leirvik,yes,ENSO,SRP,,,https://en.wikipedia.org/wiki/Stord_Airport%2C_S%C3%B8rstokken,"Sorstokken, Sørstokken",Norway
2596,ENSR,medium_airport,Sørkjosen Airport,69.786796569824,20.959400177002,16.0,EU,NO,NO-54,Sørkjosen,yes,ENSR,SOJ,,https://avinor.no/en/airport/sorkjosen-airport/,https://en.wikipedia.org/wiki/S%C3%B8rkjosen_Airport,,Norway
2597,ENSS,medium_airport,"Vardø Airport, Svartnes",70.355400085449,31.044900894165,42.0,EU,NO,NO-54,Vardø,yes,ENSS,VAW,,https://avinor.no/en/airport/vardo-airport/,https://en.wikipedia.org/wiki/Vard%C3%B8_Airport%2C_Svartnes,,Norway
2598,ENST,medium_airport,"Sandnessjøen Airport, Stokka",65.956802,12.4689,56.0,EU,NO,NO-18,Alstahaug,yes,ENST,SSJ,,https://avinor.no/en/airport/sandnessjoen-airport/,https://en.wikipedia.org/wiki/Sandnessj%C3%B8en_Airport%2C_Stokka,,Norway
2599,ENTC,large_airport,"Tromsø Airport, Langnes",69.683296,18.9189,31.0,EU,NO,NO-54,Tromsø,yes,ENTC,TOS,,http://www.avinor.no/en/airport/tromso,https://en.wikipedia.org/wiki/Troms%C3%B8_Airport,"Langnes, Tromsøya, Tromso",Norway
